2L	0	4860	499921	495061	0
2L	1	600055	799936	199881	1e-08
2L	3	900020	1199987	299967	3e-08
2L	4	1200035	1299942	99907	4e-08
2L	1	1400035	1499931	99896	1e-08
2L	3	1600016	1699888	99872	3e-08
2L	5	1900551	1999893	99342	5e-08
2L	4	2200126	2299912	99786	4e-08
2L	5	2400002	2499958	99956	5e-08
2L	3	2500100	2700000	199900	3e-08
2L	6	2700086	2799984	99898	6e-08
2L	1	2900065	3099994	199929	1e-08
2L	7	3100001	3199993	99992	7e-08
2L	5	3400003	3499985	99982	5e-08
2L	4	3500023	3599989	99966	4e-08
2L	4	3700002	3799979	99977	4e-08
2L	8	3800020	3899996	99976	8e-08
2L	7	3900004	4099965	199961	7e-08
2L	4	4100080	4199996	99916	4e-08
2L	7	4200017	4299917	99900	7e-08
2L	6	4300166	4399961	99795	6e-08
2L	4	4400113	4499994	99881	4e-08
2L	5	4700131	4799972	99841	5e-08
2L	9	4800054	4899976	99922	9e-08
2L	6	4900022	5099985	199963	6e-08
2L	4	5100022	5199960	99938	4e-08
2L	7	5200023	5299987	99964	7e-08
2L	3	5400010	5499997	99987	3e-08
2L	4	5500032	5599891	99859	4e-08
2L	1	5700055	5799700	99645	1e-08
2L	1	6100001	6199910	99909	1e-08
2L	5	6200052	6299992	99940	5e-08
2L	3	6300004	6399731	99727	3e-08
2L	4	6400086	6499985	99899	4e-08
2L	3	6500020	6599989	99969	3e-08
2L	4	6600103	6699942	99839	4e-08
2L	4	6800001	6899968	99967	4e-08
2L	10	7000012	7100000	99988	1e-07
2L	4	7100007	7199960	99953	4e-08
2L	3	7200153	7299991	99838	3e-08
2L	3	7500005	7599982	99977	3e-08
2L	9	7900068	7999991	99923	9e-08
2L	4	8000015	8099922	99907	4e-08
2L	6	8100098	8199904	99806	6e-08
2L	3	8200072	8399931	199859	3e-08
2L	5	8500002	8594369	94367	5e-08
2L	3	8601531	8699985	98454	3e-08
2L	1	8700040	8799999	99959	1e-08
2L	3	8800162	8899990	99828	3e-08
2L	4	8900014	8999996	99982	4e-08
2L	0	9300159	9399994	99835	0
2L	5	9500001	9599972	99971	5e-08
2L	3	9600068	9699989	99921	3e-08
2L	4	9700005	9799954	99949	4e-08
2L	5	9800004	9899996	99992	5e-08
2L	8	10000016	10099990	99974	8e-08
2L	9	10100015	10199961	99946	9e-08
2L	7	10200024	10299977	99953	7e-08
2L	4	10300161	10399946	99785	4e-08
2L	3	10400024	10499845	99821	3e-08
2L	4	10500001	10592811	92810	4e-08
2L	3	10600569	10999957	399388	3e-08
2L	4	11000041	11099995	99954	4e-08
2L	1	11400005	11799982	399977	1e-08
2L	3	12000042	12099982	99940	3e-08
2L	4	12100021	12199932	99911	4e-08
2L	8	12200054	12299955	99901	8e-08
2L	5	12500201	12599884	99683	5e-08
2L	8	12600005	12699903	99898	8e-08
2L	3	12700070	12799944	99874	3e-08
2L	1	12900031	12999941	99910	1e-08
2L	3	13000012	13099992	99980	3e-08
2L	5	13100029	13199921	99892	5e-08
2L	1	13200014	13399971	199957	1e-08
2L	4	13500024	13599170	99146	4e-08
2L	4	13700213	13799939	99726	4e-08
2L	3	14000018	14099896	99878	3e-08
2L	6	14400005	14499972	99967	6e-08
2L	1	14500005	14599832	99827	1e-08
2L	4	14600388	14699884	99496	4e-08
2L	1	14700056	14799968	99912	1e-08
2L	1	14900144	15199958	299814	1e-08
2L	4	15200012	15299960	99948	4e-08
2L	1	15500001	15599961	99960	1e-08
2L	1	15727851	15799995	72144	1e-08
2L	0	15800051	15899858	99807	0
2L	1	15900200	15999977	99777	1e-08
2L	0	16000048	16099978	99930	0
2L	1	16100010	16199942	99932	1e-08
2L	4	16300021	16599983	299962	4e-08
2L	3	16600015	16700000	99985	3e-08
2L	4	16700037	16799855	99818	4e-08
2L	6	16900031	16999942	99911	6e-08
2L	1	17300002	17399977	99975	1e-08
2L	0	17500024	17899991	399967	0
2L	1	18000007	18199930	199923	1e-08
2L	0	18200034	18799762	599728	0
2L	1	18800053	18899935	99882	1e-08
2L	0	18900004	19799977	899973	0
2L	1	19800027	19899848	99821	1e-08
2L	0	19900186	19999978	99792	0
2L	1	20000008	20099989	99981	1e-08
2L	0	20100066	20499947	399881	0
2L	1	20500208	20599974	99766	1e-08
2L	0	20600020	20899886	299866	0
2L	1	21000096	21099721	99625	1e-08
2L	0	21100483	22199879	1099396	0
2L	3	22200668	22299955	99287	3e-08
2L	4	22300070	22395328	95258	4e-08
2L	0	22407746	23007047	599301	0
2R	0	4115753	4909993	794240	0
2R	1	4914198	5010073	95875	1e-08
2R	0	5013446	5112457	99011	0
2R	1	5112834	5212289	99455	1e-08
2R	0	5212556	5612261	399705	0
2R	1	5614695	5712468	97773	1e-08
2R	0	5712528	6112449	399921	0
