#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0030163	1.467	5	0.01343	0.687631053	5	219	228	protein catabolic process	"fbgn0261786,fbgn0034218,fbgn0034231,fbgn0038202,fbgn0029006"
GO:0047134	0.014	1	0.01346	0.687631053	1	7	7	protein-disulfide reductase activity	fbgn0011761
GO:0030544	0.014	1	0.01429	0.71957359	1	5	5	Hsp70 protein binding	fbgn0034454
GO:0009593	0.957	4	0.0164	0.766957639	4	162	167	detection of chemical stimulus	"fbgn0034456,fbgn0034457,fbgn0030715,fbgn0024150"
GO:0006725	9.883	17	0.01713	0.766957639	17	1438	1592	cellular aromatic compound metabolic process	"fbgn0038237,fbgn0028382,fbgn0022710,fbgn0030687,fbgn0038704,fbgn0034225,fbgn0024150,fbgn0035838,fbgn0002914,fbgn0030660,fbgn0027093,fbgn0015949,fbgn0027083,fbgn0065035,fbgn0014391,fbgn0003435,fbgn0016694"
GO:0016070	4.712	10	0.01725	0.766957639	10	817	915	RNA metabolic process	"fbgn0028382,fbgn0030687,fbgn0038704,fbgn0035838,fbgn0030660,fbgn0027093,fbgn0015949,fbgn0027083,fbgn0065035,fbgn0003435"
GO:0034968	0.207	2	0.01735	0.766957639	2	41	44	histone lysine methylation	"fbgn0003862,fbgn0263667"
GO:0000275	0.018	1	0.01747	0.766957639	1	6	7	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"	fbgn0014391
GO:0045261	0.018	1	0.01747	0.766957639	1	6	7	"proton-transporting ATP synthase complex, catalytic core F(1)"	fbgn0014391
GO:0090304	6.139	12	0.0179	0.766957639	12	1056	1193	nucleic acid metabolic process	"fbgn0028382,fbgn0030687,fbgn0038704,fbgn0035838,fbgn0002914,fbgn0030660,fbgn0027093,fbgn0015949,fbgn0027083,fbgn0065035,fbgn0003435,fbgn0016694"
GO:0018022	0.213	2	0.01812	0.766957639	2	44	47	peptidyl-lysine methylation	"fbgn0003862,fbgn0263667"
GO:0016668	0.019	1	0.01848	0.766957639	1	9	12	"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	fbgn0011761
GO:0016779	0.207	2	0.01888	0.766957639	2	62	65	nucleotidyltransferase activity	"fbgn0038704,fbgn0015949"
GO:0016874	0.57	3	0.01914	0.766957639	3	108	116	ligase activity	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:1902494	4.111	9	0.01972	0.766957639	9	617	670	catalytic complex	"fbgn0001105,fbgn0034566,fbgn0030687,fbgn0003862,fbgn0034231,fbgn0038202,fbgn0263667,fbgn0034251,fbgn0029006"
GO:0000139	0.592	3	0.02009	0.766957639	3	55	59	Golgi membrane	"fbgn0024187,fbgn0030662,fbgn0038223"
GO:0036038	0.025	1	0.02036	0.766957639	1	6	6	TCTN-B9D complex	fbgn0263113
GO:0016651	0.235	2	0.02055	0.766957639	2	47	64	"oxidoreductase activity, acting on NAD(P)H"	"fbgn0011761,fbgn0034251"
GO:0017101	0.021	1	0.02131	0.766957639	1	8	10	aminoacyl-tRNA synthetase multienzyme complex	fbgn0027093
GO:0030983	0.022	1	0.0221	0.766957639	1	5	5	mismatched DNA binding	fbgn0038704
GO:0005852	0.023	1	0.02263	0.766957639	1	16	16	eukaryotic translation initiation factor 3 complex	fbgn0034237
GO:0051879	0.023	1	0.02277	0.766957639	1	8	8	Hsp90 protein binding	fbgn0034454
GO:0006511	1.679	5	0.02329	0.766957639	5	245	255	ubiquitin-dependent protein catabolic process	"fbgn0261786,fbgn0034218,fbgn0034231,fbgn0038202,fbgn0029006"
GO:0044237	28.16	38	0.02349	0.766957639	38	3569	4216	cellular metabolic process	"fbgn0261786,fbgn0038237,fbgn0028382,fbgn0022710,fbgn0034202,fbgn0030687,fbgn0034218,fbgn0034459,fbgn0011817,fbgn0003862,fbgn0030674,fbgn0038704,fbgn0034225,fbgn0024150,fbgn0035838,fbgn0002914,fbgn0260934,fbgn0030662,fbgn0034231,fbgn0030661,fbgn0030660,fbgn0034237,fbgn0027093,fbgn0038202,fbgn0034521,fbgn0015949,fbgn0027083,fbgn0263667,fbgn0034491,fbgn0034251,fbgn0065035,fbgn0014391,fbgn0003435,fbgn0027506,fbgn0052369,fbgn0016694,fbgn0003392,fbgn0029006"
GO:0016671	0.024	1	0.0235	0.766957639	1	8	9	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	fbgn0011761
GO:0005832	0.024	1	0.02401	0.766957639	1	8	10	chaperonin-containing T-complex	fbgn0027329
GO:0019941	1.691	5	0.02402	0.766957639	5	252	263	modification-dependent protein catabolic process	"fbgn0261786,fbgn0034218,fbgn0034231,fbgn0038202,fbgn0029006"
GO:0043632	1.695	5	0.02417	0.766957639	5	257	268	modification-dependent macromolecule catabolic process	"fbgn0261786,fbgn0034218,fbgn0034231,fbgn0038202,fbgn0029006"
GO:0016655	0.025	1	0.02479	0.766957639	1	16	26	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	fbgn0034251
GO:0050136	0.025	1	0.02479	0.766957639	1	16	26	NADH dehydrogenase (quinone) activity	fbgn0034251
GO:0008137	0.025	1	0.02479	0.766957639	1	16	26	NADH dehydrogenase (ubiquinone) activity	fbgn0034251
GO:0016917	0.269	2	0.02515	0.766957639	2	7	7	GABA receptor activity	"fbgn0030707,fbgn0264339"
GO:0007293	0.65	3	0.02524	0.766957639	3	56	58	germarium-derived egg chamber formation	"fbgn0003345,fbgn0003392,fbgn0029006"
GO:0016571	0.253	2	0.02546	0.766957639	2	57	60	histone methylation	"fbgn0003862,fbgn0263667"
GO:0018196	0.026	1	0.02595	0.766957639	1	8	9	peptidyl-asparagine modification	fbgn0034521
GO:0018279	0.026	1	0.02595	0.766957639	1	8	9	protein N-linked glycosylation via asparagine	fbgn0034521
GO:0071203	0.027	1	0.02676	0.771287105	1	7	7	WASH complex	fbgn0034529
GO:0000278	2.449	6	0.027	0.771287105	6	163	191	mitotic cell cycle	"fbgn0261786,fbgn0027329,fbgn0002914,fbgn0034231,fbgn0016694,fbgn0003392"
GO:0004652	0.027	1	0.02716	0.771287105	1	6	6	polynucleotide adenylyltransferase activity	fbgn0015949
GO:0016891	0.028	1	0.02729	0.771287105	1	11	11	"endoribonuclease activity, producing 5'-phosphomonoesters"	fbgn0035838
GO:0007608	1.266	4	0.02763	0.772602338	4	79	80	sensory perception of smell	"fbgn0039684,fbgn0034470,fbgn0034474,fbgn0043536"
GO:0034641	10.411	17	0.02793	0.773609359	17	1716	2250	cellular nitrogen compound metabolic process	"fbgn0038237,fbgn0028382,fbgn0022710,fbgn0030687,fbgn0038704,fbgn0034225,fbgn0024150,fbgn0035838,fbgn0002914,fbgn0030660,fbgn0027093,fbgn0015949,fbgn0027083,fbgn0065035,fbgn0014391,fbgn0003435,fbgn0016694"
GO:0008375	0.293	2	0.02856	0.787949494	2	22	24	acetylglucosaminyltransferase activity	"fbgn0030662,fbgn0034521"
GO:0008409	0.03	1	0.02988	0.815494881	1	8	8	5'-3' exonuclease activity	fbgn0038704
GO:1990234	2.376	6	0.03028	0.815494881	6	379	400	transferase complex	"fbgn0030687,fbgn0003862,fbgn0034231,fbgn0038202,fbgn0263667,fbgn0029006"
GO:0006479	0.28	2	0.03074	0.815494881	2	67	70	protein methylation	"fbgn0003862,fbgn0263667"
GO:0008213	0.28	2	0.03074	0.815494881	2	67	70	protein alkylation	"fbgn0003862,fbgn0263667"
GO:0006611	0.031	1	0.03103	0.815494881	1	11	11	protein export from nucleus	fbgn0053180
GO:0036465	0.032	1	0.03185	0.819385632	1	5	5	synaptic vesicle recycling	fbgn0003392
GO:0030991	0.032	1	0.03194	0.819385632	1	5	5	intraciliary transport particle A	fbgn0034452
GO:0016071	1.847	5	0.0322	0.819385632	5	305	342	mRNA metabolic process	"fbgn0028382,fbgn0038704,fbgn0035838,fbgn0015949,fbgn0003435"
GO:0051603	1.834	5	0.0331	0.833692614	5	277	288	proteolysis involved in cellular protein catabolic process	"fbgn0261786,fbgn0034218,fbgn0034231,fbgn0038202,fbgn0029006"
GO:0007049	2.568	6	0.03484	0.859806154	6	186	216	cell cycle	"fbgn0261786,fbgn0027329,fbgn0002914,fbgn0034231,fbgn0016694,fbgn0003392"
GO:0051539	0.035	1	0.03499	0.859806154	1	19	21	"4 iron, 4 sulfur cluster binding"	fbgn0034251
GO:0035869	0.041	1	0.03507	0.859806154	1	13	13	ciliary transition zone	fbgn0263113
GO:0005666	0.036	1	0.0356	0.859970538	1	18	19	DNA-directed RNA polymerase III complex	fbgn0030687
GO:0000974	0.036	1	0.03572	0.859970538	1	12	12	Prp19 complex	fbgn0028382
GO:0031523	0.037	1	0.03659	0.869401809	1	12	12	Myb complex	fbgn0002914
GO:0044281	6.058	11	0.03746	0.883786316	11	729	756	small molecule metabolic process	"fbgn0038237,fbgn0022710,fbgn0011761,fbgn0034225,fbgn0024150,fbgn0030662,fbgn0030660,fbgn0027093,fbgn0027083,fbgn0034491,fbgn0014391"
GO:0044666	0.039	1	0.03856	0.901522	1	10	11	MLL3/4 complex	fbgn0263667
GO:0031369	0.04	1	0.03955	0.901522	1	18	19	translation initiation factor binding	fbgn0034237
GO:0030509	0.334	2	0.03956	0.901522	2	12	14	BMP signaling pathway	"fbgn0003463,fbgn0030706"
GO:0035097	0.351	2	0.0399	0.901522	2	34	36	histone methyltransferase complex	"fbgn0003862,fbgn0263667"
GO:0051443	0.04	1	0.03997	0.901522	1	8	8	positive regulation of ubiquitin-protein transferase activity	fbgn0034231
