#GO_term: the GO term
#Avg_gene_number: on the average this number of genes are found per simulation for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#SNP_num: using the candidate SNPs this number of genes was found for the given GO category. In --mode gene every gene is only counted once whereas in --mode snp a single gene may be counted several times dependent on the SNP
#p-value: p-value (uncorrected for multiple testing)
#FDR: FDR (p-value after adjustment for multiple testing)
#Obs_gene_number: the number of genes (uniq) found for the given GO category
#Exp_gene_number: the number of genes that could at most be found for the given GO category, i.e.: genes of the given GO category that have an corresponding entry in the annotation file and contain at least one SNP
#Total_GO_genes: total number of genes for the given GO category in the GO association file
#GO_id: description of the given GO term
#Genes: comma separated list of the gene_ids found for the given GO category
GO_term	Avg_gene_number	SNP_num	p-value	FDR	Obs_gene_number	Exp_gene_number	Total_GO_genes	GO_id	Genes
GO:0000975	4.96	7	0.21989	1	7	240	254	regulatory region DNA binding	"fbgn0039683,fbgn0015903,fbgn0003345,fbgn0003862,fbgn0004795,fbgn0002914,fbgn0016694"
GO:0044212	4.96	7	0.21989	1	7	240	254	transcription regulatory region DNA binding	"fbgn0039683,fbgn0015903,fbgn0003345,fbgn0003862,fbgn0004795,fbgn0002914,fbgn0016694"
GO:0007637	0.232	1	0.22158	1	1	6	9	proboscis extension reflex	fbgn0003392
GO:0060004	0.232	1	0.22158	1	1	6	9	reflex	fbgn0003392
GO:1901575	4.936	7	0.22162	1	7	746	779	organic substance catabolic process	"fbgn0261786,fbgn0034218,fbgn0034225,fbgn0034231,fbgn0038202,fbgn0034491,fbgn0029006"
GO:0030159	0.235	1	0.2228	1	1	5	5	receptor signaling complex scaffold activity	fbgn0024187
GO:0000212	0.251	1	0.22472	1	1	40	42	meiotic spindle organization	fbgn0263391
GO:0006302	0.255	1	0.22586	1	1	64	72	double-strand break repair	fbgn0038704
GO:0042787	0.901	2	0.22609	1	2	81	85	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	"fbgn0030674,fbgn0029006"
GO:0051780	0.239	1	0.22637	1	1	7	10	behavioral response to nutrient	fbgn0003392
GO:0019637	3.272	5	0.22763	1	5	338	350	organophosphate metabolic process	"fbgn0038237,fbgn0022710,fbgn0034225,fbgn0024150,fbgn0014391"
GO:1903310	0.256	1	0.22788	1	1	45	47	positive regulation of chromatin modification	fbgn0263667
GO:0016409	0.255	1	0.22803	1	1	27	27	palmitoyltransferase activity	fbgn0034202
GO:0007051	0.907	2	0.22809	1	2	116	124	spindle organization	"fbgn0002914,fbgn0263391"
GO:0030705	0.923	2	0.23243	1	2	73	78	cytoskeleton-dependent intracellular transport	"fbgn0024187,fbgn0034452"
GO:0022408	0.259	1	0.2327	1	1	10	12	negative regulation of cell-cell adhesion	fbgn0260934
GO:0046034	0.263	1	0.23292	1	1	65	70	ATP metabolic process	fbgn0014391
GO:1902493	0.265	1	0.23393	1	1	74	83	acetyltransferase complex	fbgn0003862
GO:0031248	0.265	1	0.23393	1	1	74	83	protein acetyltransferase complex	fbgn0003862
GO:0009205	0.265	1	0.23425	1	1	69	75	purine ribonucleoside triphosphate metabolic process	fbgn0014391
GO:0031060	0.262	1	0.23443	1	1	28	30	regulation of histone methylation	fbgn0263667
GO:0016125	0.261	1	0.23483	1	1	25	29	sterol metabolic process	fbgn0034491
GO:0018130	3.303	5	0.23541	1	5	418	474	heterocycle biosynthetic process	"fbgn0022710,fbgn0030687,fbgn0024150,fbgn0002914,fbgn0014391"
GO:0005681	0.934	2	0.23789	1	2	176	188	spliceosomal complex	"fbgn0028382,fbgn0038704"
GO:0009144	0.271	1	0.23929	1	1	70	76	purine nucleoside triphosphate metabolic process	fbgn0014391
GO:0051168	0.272	1	0.23992	1	1	71	76	nuclear export	fbgn0053180
GO:0003682	1.688	3	0.24036	1	3	180	239	chromatin binding	"fbgn0003862,fbgn0023076,fbgn0263667"
GO:0051018	0.248	1	0.24077	1	1	5	5	protein kinase A binding	fbgn0266098
GO:0016569	0.937	2	0.24134	1	2	181	191	covalent chromatin modification	"fbgn0003862,fbgn0263667"
GO:0035287	0.267	1	0.24141	1	1	14	15	head segmentation	fbgn0015903
GO:0042562	0.273	1	0.2446	1	1	13	13	hormone binding	fbgn0030703
GO:0007525	2.554	4	0.24478	1	4	83	98	somatic muscle development	"fbgn0030699,fbgn0003345,fbgn0265487,fbgn0263391"
GO:1903845	0.26	1	0.24479	1	1	7	8	negative regulation of cellular response to transforming growth factor beta stimulus	fbgn0003463
GO:0030512	0.26	1	0.24479	1	1	7	8	negative regulation of transforming growth factor beta receptor signaling pathway	fbgn0003463
GO:1903844	0.263	1	0.2469	1	1	8	10	regulation of cellular response to transforming growth factor beta stimulus	fbgn0003463
GO:0017015	0.263	1	0.2469	1	1	8	10	regulation of transforming growth factor beta receptor signaling pathway	fbgn0003463
GO:1990204	0.282	1	0.24789	1	1	76	96	oxidoreductase complex	fbgn0034251
GO:0008194	0.962	2	0.24872	1	2	87	90	UDP-glycosyltransferase activity	"fbgn0030662,fbgn0034521"
GO:0009199	0.284	1	0.24927	1	1	70	76	ribonucleoside triphosphate metabolic process	fbgn0014391
GO:0071396	0.28	1	0.24982	1	1	11	16	cellular response to lipid	fbgn0263667
GO:0044248	4.266	6	0.2524	1	6	640	669	cellular catabolic process	"fbgn0261786,fbgn0034218,fbgn0034225,fbgn0034231,fbgn0038202,fbgn0029006"
GO:0007300	0.281	1	0.25264	1	1	13	19	ovarian nurse cell to oocyte transport	fbgn0261786
GO:0007318	0.281	1	0.25313	1	1	12	12	pole plasm protein localization	fbgn0260934
GO:0007584	0.276	1	0.25374	1	1	8	10	response to nutrient	fbgn0016694
GO:0001965	0.286	1	0.25462	1	1	8	8	G-protein alpha-subunit binding	fbgn0011582
GO:0006413	0.284	1	0.25463	1	1	46	51	translational initiation	fbgn0034237
GO:0006638	0.289	1	0.25472	1	1	24	24	neutral lipid metabolic process	fbgn0034491
GO:0006639	0.289	1	0.25472	1	1	24	24	acylglycerol metabolic process	fbgn0034491
GO:0009056	5.161	7	0.25569	1	7	807	844	catabolic process	"fbgn0261786,fbgn0034218,fbgn0034225,fbgn0034231,fbgn0038202,fbgn0034491,fbgn0029006"
GO:0046907	5.181	7	0.25755	1	7	678	711	intracellular transport	"fbgn0053180,fbgn0024187,fbgn0034202,fbgn0034205,fbgn0034452,fbgn0016701,fbgn0038223"
GO:0003743	0.288	1	0.25776	1	1	45	50	translation initiation factor activity	fbgn0034237
GO:0009141	0.296	1	0.25836	1	1	75	81	nucleoside triphosphate metabolic process	fbgn0014391
GO:0031090	4.328	6	0.25984	1	6	419	444	organelle membrane	"fbgn0024187,fbgn0034205,fbgn0030662,fbgn0014391,fbgn0038223,fbgn0003392"
GO:0000976	3.459	5	0.26036	1	5	190	204	transcription regulatory region sequence-specific DNA binding	"fbgn0039683,fbgn0015903,fbgn0003345,fbgn0004795,fbgn0016694"
GO:0008757	0.303	1	0.26261	1	1	75	80	S-adenosylmethionine-dependent methyltransferase activity	fbgn0003862
GO:0007606	3.504	5	0.26286	1	5	209	212	sensory perception of chemical stimulus	"fbgn0039684,fbgn0040726,fbgn0034470,fbgn0034474,fbgn0043536"
GO:0044877	6.124	8	0.26409	1	8	450	528	macromolecular complex binding	"fbgn0003862,fbgn0023076,fbgn0003463,fbgn0263197,fbgn0038205,fbgn0263667,fbgn0038223,fbgn0003392"
GO:0045787	1.01	2	0.26419	1	2	57	61	positive regulation of cell cycle	"fbgn0261786,fbgn0002914"
GO:0005759	0.306	1	0.26439	1	1	69	71	mitochondrial matrix	fbgn0027083
GO:0031624	0.294	1	0.26489	1	1	17	18	ubiquitin conjugating enzyme binding	fbgn0052369
GO:0005834	0.297	1	0.26521	1	1	16	16	heterotrimeric G-protein complex	fbgn0001105
GO:0000977	2.628	4	0.26551	1	4	134	144	RNA polymerase II regulatory region sequence-specific DNA binding	"fbgn0039683,fbgn0003345,fbgn0004795,fbgn0016694"
GO:0008017	1.794	3	0.26577	1	3	107	113	microtubule binding	"fbgn0263197,fbgn0038205,fbgn0003392"
GO:0019730	1.012	2	0.26744	1	2	52	56	antimicrobial humoral response	"fbgn0260934,fbgn0004364"
GO:0070988	0.285	1	0.26767	1	1	15	15	demethylation	fbgn0065035
GO:0019438	3.477	5	0.26827	1	5	418	476	aromatic compound biosynthetic process	"fbgn0022710,fbgn0030687,fbgn0024150,fbgn0002914,fbgn0014391"
GO:0044390	0.298	1	0.26841	1	1	21	23	ubiquitin-like protein conjugating enzyme binding	fbgn0052369
GO:0017038	0.312	1	0.26901	1	1	95	104	protein import	fbgn0034205
GO:0008340	2.65	4	0.26941	1	4	160	167	determination of adult lifespan	"fbgn0034521,fbgn0014391,fbgn0028956,fbgn0003435"
GO:0044427	2.643	4	0.27054	1	4	386	538	chromosomal part	"fbgn0267791,fbgn0002914,fbgn0034495,fbgn0065035"
GO:0051170	0.308	1	0.27104	1	1	58	63	nuclear import	fbgn0034205
GO:0046658	0.279	1	0.27105	1	1	7	7	anchored component of plasma membrane	fbgn0262869
GO:0043436	2.649	4	0.27232	1	4	383	398	oxoacid metabolic process	"fbgn0030662,fbgn0030660,fbgn0027093,fbgn0027083"
GO:0001588	0.309	1	0.27278	1	1	6	6	"dopamine neurotransmitter receptor activity, coupled via Gs"	fbgn0011582
GO:0006082	2.652	4	0.27296	1	4	385	400	organic acid metabolic process	"fbgn0030662,fbgn0030660,fbgn0027093,fbgn0027083"
GO:0045184	2.655	4	0.27339	1	4	391	409	establishment of protein localization	"fbgn0053180,fbgn0034202,fbgn0034205,fbgn0016701"
GO:0016573	0.316	1	0.27353	1	1	68	75	histone acetylation	fbgn0003862
GO:0030723	0.309	1	0.27463	1	1	11	11	ovarian fusome organization	fbgn0263391
GO:0043252	0.316	1	0.27508	1	1	33	35	sodium-independent organic anion transport	fbgn0034479
GO:0015347	0.316	1	0.27508	1	1	33	35	sodium-independent organic anion transmembrane transporter activity	fbgn0034479
GO:0090328	0.312	1	0.27524	1	1	9	10	regulation of olfactory learning	fbgn0011582
GO:0016325	0.308	1	0.27546	1	1	16	17	oocyte microtubule cytoskeleton organization	fbgn0260934
GO:1903510	0.308	1	0.27581	1	1	12	13	mucopolysaccharide metabolic process	fbgn0030662
GO:0030510	1.035	2	0.27793	1	2	38	40	regulation of BMP signaling pathway	"fbgn0003463,fbgn0029006"
GO:0015631	1.841	3	0.27902	1	3	124	131	tubulin binding	"fbgn0263197,fbgn0038205,fbgn0003392"
GO:0035332	0.316	1	0.27905	1	1	14	15	positive regulation of hippo signaling	fbgn0260934
GO:0043197	0.311	1	0.28078	1	1	7	7	dendritic spine	fbgn0003392
GO:0044309	0.311	1	0.28078	1	1	7	7	neuron spine	fbgn0003392
GO:0015992	0.325	1	0.28137	1	1	63	73	proton transport	fbgn0014391
GO:0035186	0.31	1	0.28187	1	1	17	17	syncytial blastoderm mitotic cell cycle	fbgn0003392
GO:0007614	1.052	2	0.28219	1	2	23	26	short-term memory	"fbgn0266098,fbgn0003392"
GO:0070013	0.331	1	0.28276	1	1	78	80	intracellular organelle lumen	fbgn0027083
GO:0043233	0.331	1	0.28276	1	1	78	80	organelle lumen	fbgn0027083
GO:0006974	1.863	3	0.28311	1	3	288	319	cellular response to DNA damage stimulus	"fbgn0011761,fbgn0038704,fbgn0065035"
GO:0006818	0.328	1	0.28357	1	1	64	74	hydrogen transport	fbgn0014391
GO:0033036	6.24	8	0.28368	1	8	595	634	macromolecule localization	"fbgn0001105,fbgn0053180,fbgn0034202,fbgn0034205,fbgn0016701,fbgn0263197,fbgn0260934,fbgn0003392"
GO:0009126	0.332	1	0.28447	1	1	77	82	purine nucleoside monophosphate metabolic process	fbgn0014391
GO:0009167	0.332	1	0.28447	1	1	77	82	purine ribonucleoside monophosphate metabolic process	fbgn0014391
GO:0007191	0.327	1	0.28465	1	1	9	9	adenylate cyclase-activating dopamine receptor signaling pathway	fbgn0011582
GO:0035326	1.054	2	0.28494	1	2	34	39	enhancer binding	"fbgn0015903,fbgn0003345"
GO:0006612	0.329	1	0.28574	1	1	36	37	protein targeting to membrane	fbgn0034202
GO:0045478	0.326	1	0.28659	1	1	15	15	fusome organization	fbgn0263391
GO:0001012	2.727	4	0.28782	1	4	139	149	RNA polymerase II regulatory region DNA binding	"fbgn0039683,fbgn0003345,fbgn0004795,fbgn0016694"
GO:0016853	0.338	1	0.28864	1	1	107	115	isomerase activity	fbgn0028382
GO:0016607	0.326	1	0.2894	1	1	24	24	nuclear speck	fbgn0267791
GO:0044450	0.338	1	0.29085	1	1	46	46	microtubule organizing center part	fbgn0034530
GO:0008023	0.334	1	0.29128	1	1	42	43	transcription elongation factor complex	fbgn0003862
GO:0016209	0.341	1	0.29341	1	1	41	44	antioxidant activity	fbgn0011761
GO:0007189	1.077	2	0.29346	1	2	30	31	adenylate cyclase-activating G-protein coupled receptor signaling pathway	"fbgn0024150,fbgn0011582"
GO:0043279	0.336	1	0.29387	1	1	24	27	response to alkaloid	fbgn0024150
GO:0072659	0.344	1	0.29525	1	1	41	42	protein localization to plasma membrane	fbgn0003392
GO:0006509	0.326	1	0.29626	1	1	7	8	membrane protein ectodomain proteolysis	fbgn0259110
GO:0046667	0.343	1	0.29666	1	1	10	10	compound eye retinal cell programmed cell death	fbgn0003392
GO:0072686	0.338	1	0.29736	1	1	19	20	mitotic spindle	fbgn0003392
GO:0005743	0.355	1	0.29746	1	1	95	103	mitochondrial inner membrane	fbgn0014391
GO:0004984	0.357	1	0.29773	1	1	96	101	olfactory receptor activity	fbgn0030715
GO:0006475	0.35	1	0.29823	1	1	70	77	internal protein amino acid acetylation	fbgn0003862
GO:0018394	0.35	1	0.29823	1	1	70	77	peptidyl-lysine acetylation	fbgn0003862
GO:0018393	0.35	1	0.29823	1	1	70	77	internal peptidyl-lysine acetylation	fbgn0003862
GO:0000281	0.35	1	0.29838	1	1	57	60	mitotic cytokinesis	fbgn0002914
GO:0005452	0.349	1	0.29927	1	1	28	30	inorganic anion exchanger activity	fbgn0034479
GO:0002027	0.345	1	0.30024	1	1	14	15	regulation of heart rate	fbgn0023076
GO:0005858	0.35	1	0.30153	1	1	25	30	axonemal dynein complex	fbgn0034566
GO:0006275	0.345	1	0.30254	1	1	28	30	regulation of DNA replication	fbgn0034495
GO:0071702	5.449	7	0.30284	1	7	681	713	organic substance transport	"fbgn0053180,fbgn0034202,fbgn0034205,fbgn0263747,fbgn0016701,fbgn0030674,fbgn0034479"
GO:0015630	0.347	1	0.30375	1	1	14	14	microtubule cytoskeleton	fbgn0003392
GO:0007026	0.341	1	0.30388	1	1	10	10	negative regulation of microtubule depolymerization	fbgn0263197
GO:0004252	1.112	2	0.3039	1	2	211	232	serine-type endopeptidase activity	"fbgn0034518,fbgn0262570"
GO:0007143	0.346	1	0.30433	1	1	33	43	female meiotic division	fbgn0011761
GO:0035591	0.351	1	0.30438	1	1	12	13	signaling adaptor activity	fbgn0024187
GO:0046666	0.354	1	0.30463	1	1	12	12	retinal cell programmed cell death	fbgn0003392
GO:0030514	0.342	1	0.30494	1	1	15	16	negative regulation of BMP signaling pathway	fbgn0029006
GO:0031111	0.344	1	0.306	1	1	11	11	negative regulation of microtubule polymerization or depolymerization	fbgn0263197
GO:0009161	0.363	1	0.306	1	1	83	88	ribonucleoside monophosphate metabolic process	fbgn0014391
GO:0007628	0.356	1	0.30641	1	1	14	20	adult walking behavior	fbgn0260938
GO:0016791	1.95	3	0.30643	1	3	168	175	phosphatase activity	"fbgn0034225,fbgn0030661,fbgn0027506"
GO:0051082	0.362	1	0.30652	1	1	73	85	unfolded protein binding	fbgn0027329
GO:0044447	0.358	1	0.30691	1	1	27	32	axoneme part	fbgn0034566
GO:0032590	0.359	1	0.30696	1	1	62	66	dendrite membrane	fbgn0030715
GO:0043623	1.12	2	0.3071	1	2	181	194	cellular protein complex assembly	"fbgn0034566,fbgn0003392"
GO:0033619	0.344	1	0.30924	1	1	11	12	membrane protein proteolysis	fbgn0259110
GO:0005667	1.954	3	0.30982	1	3	144	155	transcription factor complex	"fbgn0003345,fbgn0023076,fbgn0263667"
GO:0090407	1.949	3	0.30993	1	3	196	204	organophosphate biosynthetic process	"fbgn0022710,fbgn0024150,fbgn0014391"
GO:0006473	0.367	1	0.31023	1	1	77	84	protein acetylation	fbgn0003862
GO:0010389	0.368	1	0.31083	1	1	82	89	regulation of G2/M transition of mitotic cell cycle	fbgn0002914
GO:0019894	0.338	1	0.3118	1	1	7	8	kinesin binding	fbgn0024187
GO:2001252	0.369	1	0.31247	1	1	54	56	positive regulation of chromosome organization	fbgn0263667
GO:0031667	1.962	3	0.31284	1	3	182	192	response to nutrient levels	"fbgn0011582,fbgn0028956,fbgn0016694"
GO:0003341	0.369	1	0.31435	1	1	28	34	cilium movement	fbgn0034566
GO:0055037	0.364	1	0.3158	1	1	41	44	recycling endosome	fbgn0016701
GO:1902749	0.376	1	0.31627	1	1	84	91	regulation of cell cycle G2/M phase transition	fbgn0002914
GO:0009991	1.975	3	0.31629	1	3	184	194	response to extracellular stimulus	"fbgn0011582,fbgn0028956,fbgn0016694"
GO:0006959	1.139	2	0.31636	1	2	72	82	humoral immune response	"fbgn0260934,fbgn0004364"
GO:0071902	0.37	1	0.31704	1	1	27	30	positive regulation of protein serine/threonine kinase activity	fbgn0024187
GO:0000982	1.981	3	0.31709	1	3	69	75	"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"fbgn0039683,fbgn0002914,fbgn0016694"
GO:0045503	0.373	1	0.31715	1	1	21	27	dynein light chain binding	fbgn0034566
GO:0019866	0.384	1	0.3179	1	1	101	109	organelle inner membrane	fbgn0014391
GO:0009123	0.381	1	0.31859	1	1	87	92	nucleoside monophosphate metabolic process	fbgn0014391
GO:0016758	1.145	2	0.31869	1	2	133	138	"transferase activity, transferring hexosyl groups"	"fbgn0030662,fbgn0034521"
GO:0031974	0.383	1	0.31936	1	1	97	100	membrane-enclosed lumen	fbgn0027083
GO:0050911	0.378	1	0.31941	1	1	68	72	detection of chemical stimulus involved in sensory perception of smell	fbgn0030715
GO:0032436	0.369	1	0.31942	1	1	24	24	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	fbgn0052369
GO:1901800	0.369	1	0.31942	1	1	24	24	positive regulation of proteasomal protein catabolic process	fbgn0052369
GO:0031396	0.38	1	0.31946	1	1	51	51	regulation of protein ubiquitination	fbgn0034231
GO:0009994	0.341	1	0.32151	1	1	10	10	oocyte differentiation	fbgn0260934
GO:1990837	3.769	5	0.32199	1	5	212	228	sequence-specific double-stranded DNA binding	"fbgn0039683,fbgn0015903,fbgn0003345,fbgn0004795,fbgn0016694"
GO:0008227	1.15	2	0.3222	1	2	22	22	G-protein coupled amine receptor activity	"fbgn0037546,fbgn0011582"
GO:0006497	0.387	1	0.32346	1	1	66	67	protein lipidation	fbgn0034202
GO:0030261	0.383	1	0.32356	1	1	50	54	chromosome condensation	fbgn0002914
GO:1901362	3.762	5	0.32432	1	5	459	519	organic cyclic compound biosynthetic process	"fbgn0022710,fbgn0030687,fbgn0024150,fbgn0002914,fbgn0014391"
GO:0030536	0.379	1	0.3246	1	1	18	22	larval feeding behavior	fbgn0003392
GO:1903320	0.389	1	0.32571	1	1	57	58	regulation of protein modification by small protein conjugation or removal	fbgn0034231
GO:0019752	2.012	3	0.3259	1	3	361	375	carboxylic acid metabolic process	"fbgn0030660,fbgn0027093,fbgn0027083"
GO:0005694	2.022	3	0.32689	1	3	190	202	chromosome	"fbgn0003862,fbgn0002914,fbgn0263667"
GO:0005615	4.702	6	0.32884	1	6	566	606	extracellular space	"fbgn0039684,fbgn0034470,fbgn0034474,fbgn0034512,fbgn0014391,fbgn0043536"
GO:0031056	0.391	1	0.32889	1	1	49	53	regulation of histone modification	fbgn0263667
GO:0008010	0.395	1	0.32909	1	1	94	106	structural constituent of chitin-based larval cuticle	fbgn0034517
GO:0016829	1.18	2	0.33071	1	2	115	124	lyase activity	"fbgn0022710,fbgn0024150"
GO:0008168	0.401	1	0.33116	1	1	102	108	methyltransferase activity	fbgn0003862
GO:1903052	0.386	1	0.33163	1	1	28	28	positive regulation of proteolysis involved in cellular protein catabolic process	fbgn0052369
GO:0042675	0.373	1	0.33178	1	1	9	10	compound eye cone cell differentiation	fbgn0266098
GO:1903364	0.387	1	0.33183	1	1	29	29	positive regulation of cellular protein catabolic process	fbgn0052369
GO:0016298	0.398	1	0.33215	1	1	57	64	lipase activity	fbgn0034491
GO:0003723	6.604	8	0.33255	1	8	631	938	RNA binding	"fbgn0028382,fbgn0015903,fbgn0265487,fbgn0038704,fbgn0267791,fbgn0034237,fbgn0015949,fbgn0003435"
GO:0031114	0.385	1	0.33408	1	1	15	15	regulation of microtubule depolymerization	fbgn0263197
GO:0005518	0.379	1	0.3341	1	1	5	5	collagen binding	fbgn0003463
GO:0007309	1.189	2	0.33518	1	2	57	67	oocyte axis specification	"fbgn0003463,fbgn0260934"
GO:0034504	0.387	1	0.33553	1	1	59	64	protein localization to nucleus	fbgn0034205
GO:0015020	0.398	1	0.33809	1	1	40	41	glucuronosyltransferase activity	fbgn0030662
GO:0007446	0.402	1	0.33904	1	1	16	22	imaginal disc growth	fbgn0267791
GO:0051247	3.859	5	0.34116	1	5	290	309	positive regulation of protein metabolic process	"fbgn0024187,fbgn0034231,fbgn0263667,fbgn0052369,fbgn0029006"
GO:0006323	0.409	1	0.34181	1	1	58	65	DNA packaging	fbgn0002914
GO:0032504	1.209	2	0.34255	1	2	252	268	multicellular organism reproduction	"fbgn0034474,fbgn0034512"
GO:0030276	0.403	1	0.34265	1	1	18	19	clathrin binding	fbgn0038223
GO:0036094	11.357	13	0.34452	1	13	975	1037	small molecule binding	"fbgn0027329,fbgn0263747,fbgn0016701,fbgn0011817,fbgn0034225,fbgn0030703,fbgn0260934,fbgn0030660,fbgn0027093,fbgn0038205,fbgn0027083,fbgn0034251,fbgn0003392"
GO:0035331	0.383	1	0.34553	1	1	9	9	negative regulation of hippo signaling	fbgn0003345
GO:0042023	0.401	1	0.34564	1	1	18	18	DNA endoreduplication	fbgn0016694
GO:0045167	0.417	1	0.34627	1	1	18	18	asymmetric protein localization involved in cell fate determination	fbgn0263197
GO:0005868	0.416	1	0.34637	1	1	38	47	cytoplasmic dynein complex	fbgn0034566
GO:1901564	6.654	8	0.34653	1	8	968	1394	organonitrogen compound metabolic process	"fbgn0038237,fbgn0022710,fbgn0024150,fbgn0030662,fbgn0030660,fbgn0027093,fbgn0027083,fbgn0014391"
GO:0001933	1.22	2	0.34709	1	2	65	66	negative regulation of protein phosphorylation	"fbgn0260934,fbgn0003392"
GO:0006024	0.405	1	0.34762	1	1	13	14	glycosaminoglycan biosynthetic process	fbgn0030662
GO:0031985	0.408	1	0.3477	1	1	30	30	Golgi cisterna	fbgn0034521
GO:0008202	0.42	1	0.34772	1	1	45	49	steroid metabolic process	fbgn0034491
GO:0042578	2.987	4	0.34882	1	4	201	210	phosphoric ester hydrolase activity	"fbgn0038237,fbgn0034225,fbgn0030661,fbgn0027506"
GO:0042326	1.225	2	0.34901	1	2	67	68	negative regulation of phosphorylation	"fbgn0260934,fbgn0003392"
GO:0072657	1.232	2	0.35025	1	2	97	101	protein localization to membrane	"fbgn0034202,fbgn0003392"
GO:0044786	0.408	1	0.35027	1	1	20	20	cell cycle DNA replication	fbgn0016694
GO:0015301	0.43	1	0.35205	1	1	41	43	anion:anion antiporter activity	fbgn0034479
GO:0031644	0.422	1	0.35239	1	1	15	16	regulation of neurological system process	fbgn0011582
GO:0000980	0.414	1	0.35357	1	1	19	23	RNA polymerase II distal enhancer sequence-specific DNA binding	fbgn0003345
GO:0030951	0.421	1	0.35362	1	1	24	25	establishment or maintenance of microtubule cytoskeleton polarity	fbgn0260934
GO:0016741	0.436	1	0.35436	1	1	108	114	"transferase activity, transferring one-carbon groups"	fbgn0003862
GO:0003729	3.934	5	0.35461	1	5	180	196	mRNA binding	"fbgn0028382,fbgn0015903,fbgn0267791,fbgn0034237,fbgn0003435"
GO:0008135	0.428	1	0.3555	1	1	70	77	"translation factor activity, RNA binding"	fbgn0034237
GO:0071407	0.419	1	0.35731	1	1	13	18	cellular response to organic cyclic compound	fbgn0263667
GO:0008376	0.429	1	0.35865	1	1	28	30	acetylgalactosaminyltransferase activity	fbgn0030662
GO:0090150	0.436	1	0.35938	1	1	63	67	establishment of protein localization to membrane	fbgn0034202
GO:0030286	0.438	1	0.35982	1	1	45	54	dynein complex	fbgn0034566
GO:0030674	0.433	1	0.36036	1	1	25	27	"protein binding, bridging"	fbgn0261786
GO:0090659	0.437	1	0.36237	1	1	15	21	walking behavior	fbgn0260938
GO:0016757	1.263	2	0.36256	1	2	151	159	"transferase activity, transferring glycosyl groups"	"fbgn0030662,fbgn0034521"
GO:0050658	0.446	1	0.36292	1	1	87	93	RNA transport	fbgn0030674
GO:0050657	0.446	1	0.36292	1	1	87	93	nucleic acid transport	fbgn0030674
GO:0044271	3.961	5	0.36296	1	5	627	1062	cellular nitrogen compound biosynthetic process	"fbgn0022710,fbgn0030687,fbgn0024150,fbgn0002914,fbgn0014391"
GO:0045747	0.443	1	0.36379	1	1	39	40	positive regulation of Notch signaling pathway	fbgn0003392
GO:0031225	0.408	1	0.36434	1	1	8	8	anchored component of membrane	fbgn0262869
GO:0008088	0.445	1	0.36486	1	1	33	34	axon cargo transport	fbgn0024187
GO:0005875	1.266	2	0.36491	1	2	122	136	microtubule associated complex	"fbgn0034566,fbgn0038205"
GO:0043052	0.434	1	0.36676	1	1	18	18	thermotaxis	fbgn0011582
GO:0051236	0.453	1	0.36733	1	1	88	94	establishment of RNA localization	fbgn0030674
GO:1901701	1.276	2	0.36765	1	2	69	80	cellular response to oxygen-containing compound	"fbgn0011582,fbgn0263667"
GO:0045502	0.45	1	0.36821	1	1	43	50	dynein binding	fbgn0034566
GO:0005622	1.278	2	0.36938	1	2	94	98	intracellular	"fbgn0020299,fbgn0052369"
GO:1901265	10.618	12	0.3704	1	12	885	937	nucleoside phosphate binding	"fbgn0027329,fbgn0263747,fbgn0016701,fbgn0011817,fbgn0034225,fbgn0260934,fbgn0030660,fbgn0027093,fbgn0038205,fbgn0027083,fbgn0034251,fbgn0003392"
GO:0000166	10.618	12	0.3704	1	12	885	937	nucleotide binding	"fbgn0027329,fbgn0263747,fbgn0016701,fbgn0011817,fbgn0034225,fbgn0260934,fbgn0030660,fbgn0027093,fbgn0038205,fbgn0027083,fbgn0034251,fbgn0003392"
GO:0044421	6.814	8	0.37047	1	8	665	708	extracellular region part	"fbgn0039684,fbgn0260934,fbgn0034470,fbgn0034474,fbgn0034512,fbgn0014391,fbgn0043536,fbgn0263391"
GO:0071103	0.454	1	0.37098	1	1	75	84	DNA conformation change	fbgn0002914
GO:0046128	0.474	1	0.37172	1	1	103	109	purine ribonucleoside metabolic process	fbgn0014391
GO:0000915	0.442	1	0.37206	1	1	22	24	actomyosin contractile ring assembly	fbgn0003392
GO:0000912	0.442	1	0.37206	1	1	22	25	assembly of actomyosin apparatus involved in cytokinesis	fbgn0003392
GO:0044837	0.442	1	0.37206	1	1	22	24	actomyosin contractile ring organization	fbgn0003392
GO:0009896	1.288	2	0.37238	1	2	89	94	positive regulation of catabolic process	"fbgn0052369,fbgn0029006"
GO:0046426	0.424	1	0.37495	1	1	14	15	negative regulation of JAK-STAT cascade	fbgn0015903
GO:0051271	0.415	1	0.3769	1	1	10	10	negative regulation of cellular component movement	fbgn0034540
GO:0015276	2.197	3	0.37815	1	3	114	118	ligand-gated ion channel activity	"fbgn0034456,fbgn0034457,fbgn0030707"
GO:0022834	2.197	3	0.37815	1	3	114	118	ligand-gated channel activity	"fbgn0034456,fbgn0034457,fbgn0030707"
