genome,treatment,N,count,sd,se,ci
introgression,control,19,759.8979317718645,352.7098328061492,80.91718513658586,170.00069768771777
introgression,heatshock,20,451.4630748238019,187.68968087610955,41.96868851142232,87.84147458637658
SK,control,3,901.6166733065563,366.5056262431008,211.6021219709666,910.4504477191581
SK,heatshock,3,430.02510142624243,62.34909647405161,35.99726763302365,154.88374184475114
VT8,control,3,544.3836258912502,206.0248651440319,118.94851135066317,511.7941370625657
VT8,heatshock,3,829.7624699194778,245.46302397863246,141.71814297016303,609.7639547055965
